"copy","task","rep","model","models_billed","started_at","wall_ms","cost_usd","num_turns","duration_ms","duration_api_ms","input_tokens","output_tokens","cache_read_tokens","cache_create_tokens","ended","terminal_reason","stop_reason","is_error","permission_denials","skipped_lines","files_read_distinct","read_calls","grep_calls","glob_calls","edit_calls","write_calls","bash_calls","bash_search_calls","gate_blocks","gate_blocks_build","files_changed","lines_added","lines_deleted","files_out_of_scope","build_ok","behaviour_tests_passed","behaviour_tests_failed","arch_tests_passed","arch_tests_failed","dup_blocks_before","dup_blocks_after","dup_lines_pct_after","notes"
"sliced","T4","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:12:39Z","256752","1.6254449999999998","51","255459","217290","50","19291","1075354","60414","success","completed","end_turn","False","3","0","22","22","0","3","10","6","6","0","3","3","13","460","2","0","True","20","0","10","0","0","0","0","3 permission denials"
"layered","T4","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:17:05Z","414520","2.256303","61","413296","323797","58","29512","1674540","67984","success","completed","end_turn","False","2","0","25","25","0","1","17","8","7","1","5","4","19","478","2","1","True","18","0","11","0","0","0","0","2 permission denials"
"sliced","T4","2","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:24:20Z","350341","1.8821885","47","349104","310501","50","27540","1282691","55099","success","completed","end_turn","False","3","0","23","23","0","2","4","7","7","0","0","0","13","437","3","0","True","17","0","10","0","0","0","0","3 permission denials"
"layered","T4","2","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:30:19Z","254243","1.5541099999999999","55","252901","213462","42","19672","1043934","53903","success","completed","end_turn","False","3","0","26","26","0","2","8","10","5","1","4","4","17","462","2","0","True","20","0","9","0","0","1","1.13","3 permission denials"
"sliced","T4","3","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:34:43Z","295060","1.6972289999999997","49","293880","250176","52","22135","1281262","50186","success","completed","end_turn","False","3","0","24","24","0","2","7","6","6","0","1","1","12","495","7","0","True","19","0","10","0","0","0","0","3 permission denials"
"layered","T4","3","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:39:46Z","331713","2.0728415","58","330512","260739","68","23129","1797287","59453","success","completed","end_turn","False","3","0","25","25","0","2","16","6","5","1","6","6","17","440","2","0","True","18","0","9","0","0","1","1.13","3 permission denials"
"sliced","T5","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:45:28Z","122917","0.8484674999999999","36","121244","96462","30","8969","548887","34858","success","completed","end_turn","False","2","0","16","17","0","1","10","0","5","1","1","1","13","231","5","0","True","20","0","10","0","0","0","0","2 permission denials"
"layered","T5","1","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:47:39Z","143273","0.8750270000000002","34","141899","102773","38","9027","650246","32297","success","completed","end_turn","False","3","0","13","13","0","2","11","0","4","0","1","1","13","232","5","0","True","20","0","9","0","0","0","0","3 permission denials"
"sliced","T5","2","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:50:12Z","149302","0.8917014999999999","35","146841","110781","40","9517","671435","31679","success","completed","end_turn","False","2","0","15","15","0","2","11","0","4","0","1","1","13","231","5","0","True","20","0","10","0","0","0","0","2 permission denials"
"layered","T5","2","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:53:00Z","159702","0.9706414999999999","36","158432","114097","44","9754","786525","33224","success","completed","end_turn","False","3","0","14","15","0","1","11","0","5","0","1","1","13","232","5","0","True","20","0","9","0","0","0","0","3 permission denials"
"sliced","T5","3","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:55:49Z","141194","0.8702665","37","139885","106660","42","9308","688955","29181","success","completed","end_turn","False","4","0","12","12","0","3","12","0","5","0","1","1","13","220","5","0","True","19","0","10","0","0","0","0","4 permission denials"
"layered","T5","3","claude-opus-5[1m]","claude-haiku-4-5-20251001+claude-opus-5[1m]","2026-08-31T13:58:19Z","147032","0.9226190000000001","36","145508","109918","38","9682","694880","33187","success","completed","end_turn","False","2","0","14","15","0","1","11","0","6","1","1","1","13","231","5","0","True","20","0","9","0","0","0","0","2 permission denials"
